Book_Title,Book_Author,Year_Of_Publication,Publisher,Book_Rating,label
The Hunt for Red October (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group,0,1
Contagion,Robin Cook,1998,Berkley Publishing Group,0,1
Crossings,DANIELLE STEEL,1987,Dell,0,6
Secrets,DANIELLE STEEL,1986,Dell,0,6
Blood Work,Michael Connelly,1998,Warner Books,9,2
Mindbend,Robin Cook,2001,Signet Book,8,3
Dolores Claiborne,Stephen King,2004,Signet Book,8,3
Ashes to Ashes,TAMI HOAG,2000,Bantam,0,2
Seize the Night,DEAN KOONTZ,1999,Bantam,0,2
A Cry In The Night,Mary Higgins Clark,1993,Pocket,6,0
The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,2002,Hyperion Press,0,2
Shadow Prey,John Sandford,2004,Berkley Publishing Group,0,1
Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995,Berkley Publishing Group,0,1
A Time to Kill,JOHN GRISHAM,1992,Dell,0,2
The Pelican Brief,John Grisham,1993,Dell,0,2
Smilla's Sense of Snow,Peter Hoeg,1997,Island,0,2
Pet Sematary,Stephen King,1984,Signet Book,0,3
Relic,Douglas Preston,2003,Tor Books,0,2
Moving Target,Elizabeth Lowell,2002,Avon Books,0,2
Tunnel Vision (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1995,Dell,0,2
Forbidden Fruit,Erica Spindler,1996,Mira,0,2
"The Web (Alex Delaware Series, No. 10)",JONATHAN KELLERMAN,1996,Bantam,9,2
Pearl in the Mist (Landry),V.C. Andrews,1994,Pocket,0,0
Winter Prey,John Sandford,2004,Berkley Publishing Group,0,1
The Key to Midnight,Dean R. Koontz,1995,Berkley Publishing Group,0,1
Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books,0,4
Intensity,DEAN KOONTZ,1996,Ballantine Books,9,4
A Widow for One Year,JOHN IRVING,2001,Fawcett,0,2
Guilty as Sin,TAMI HOAG,1997,Bantam,0,2
Life Support,Tess Gerritsen,1998,Pocket,0,0
Empty Promises,Ann Rule,2000,Pocket,0,0
Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ,2001,Ballantine Books,7,4
Gone But Not Forgotten,PHILLIP M. MARGOLIN,1994,Bantam,9,2
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books,0,4
Degree of Guilt,Richard North Patterson,1995,Ballantine Books,8,4
The Genesis Code,John Case,1998,Ballantine Books,0,4
Midnight,Dean R. Koontz,1995,Berkley Publishing Group,0,1
Acceptable Risk,Robin Cook,1996,Berkley Publishing Group,7,1
Invasion,Robin Cook,1997,Berkley Publishing Group,7,1
Rainbow Six,Tom Clancy,2004,Berkley Publishing Group,0,1
Mixed Blessings,DANIELLE STEEL,1993,Dell,0,6
The Witness,Sandra Brown,1996,Warner Books,0,2
Primary Colors: A Novel of Politics,Anonymous,1996,Warner Books,0,2
Master of the Game,Sidney Sheldon,1983,Not Avail,0,2
The Tommyknockers,Stephen King,1994,Signet Book,7,3
Gerald's Game,Stephen King,2001,Signet Book,8,3
Shadows,John Saul,1993,Bantam Books,0,2
Bad Love (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1994,Bantam Books,0,2
The First Wives Club Movie Tie In,Olivia Goldsmith,1996,Pocket,0,0
SEEDS OF YESTERDY (Dollanger Saga (Paperback)),V.C. Andrews,1984,Pocket,0,0
Twilight's Child (Cutler),V.C. Andrews,1992,Pocket,0,0
Call of the Wild,Jack London,0,Selldowns/no More Orders,9,2
The Burden of Proof,Scott Turow,1991,Warner Books,0,2
The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket,6,0
The Loop,Nicholas Evans,1999,Dell Publishing Company,0,2
"River, Cross My Heart",Breena Clarke,1999,Little Brown &amp; Company,0,2
Sticks &amp; Scones,Diane Mott Davidson,2002,Bantam Books,0,2
Protect and Defend,Richard North Patterson,2001,Ballantine Books,0,4
Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage,0,2
Season of the Machete,James Patterson,1995,Warner Books,0,2
"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL,1995,Anchor,0,2
The Sands of Time,Sidney Sheldon,1989,Warner Books,0,2
Animal Farm,George Orwell,2004,Signet,0,2
The Valley of Horses,JEAN M. AUEL,1984,Bantam,0,2
"RUSSIA HOUSE, THE",JOHN LE CARRE,1990,Bantam,0,2
The Sky Is Falling,Sidney Sheldon,2001,Warner Books,0,2
The Mummy or Ramses the Damned,Anne Rice,1991,Ballantine Books,0,4
Abduction,Robin Cook,2000,Berkley Publishing Group,0,1
Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books,0,2
Toxin,Robin Cook,1999,Berkley Publishing Group,8,1
Circle of Three: A Novel,Patricia Gaffney,2001,HarperTorch,0,2
The Night Crew,John Sandford,2004,Berkley Publishing Group,9,1
Plain Truth,Jodi Picoult,2001,Washington Square Press,0,2
Eyes of the Dragon,Stephen King,1988,Penguin Putnam~mass,0,3
A Place Called Freedom,Ken Follett,1996,Fawcett Books,0,2
Still Life with Woodpecker,TOM ROBBINS,1990,Bantam,0,2
The Runaway Jury,JOHN GRISHAM,1997,Dell,0,2
It,Stephen King,1987,New Amer Library,0,3
DEAD BY SUNSET : DEAD BY SUNSET,Ann Rule,1996,Pocket,9,0
FIRST WIVES CLUB,Olivia Goldsmith,1993,Pocket,0,0
Blindsight,Robin Cook,1993,Berkley Publishing Group,0,1
It's Always Something,Gilda Radner,1990,Avon,0,2
Devil's Waltz (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1993,Bantam Books,0,2
Shadow Watch (Tom Clancy's Power Plays (Paperback)),Tom Clancy,1999,Berkley Publishing Group,0,1
Doomsday Book,Connie Willis,1993,Spectra Books,8,2
The First Counsel,Brad Meltzer,2001,Warner Vision,0,2
The Poet,Michael Connelly,1997,Warner Books,10,2
Pleading Guilty,Scott Turow,1994,Warner Books,0,2
The First Horseman,John Case,1999,Ballantine Books,0,4
Sanctuary,Nora Roberts,2004,Jove Books,9,5
Prodigal Summer,Barbara Kingsolver,2000,HarperCollins,0,2
Man From St Petersburg,Ken Follett,1983,Penguin Putnam~mass,0,2
Silence of the Lambs,Thomas Harris,1991,St. Martin's Press,9,2
The Corrections,Jonathan Franzen,2001,Farrar Straus &amp; Giroux,0,2
The Bonfire of the Vanities,Tom Wolfe,1988,Bantam Books,0,2
Lie Down With Lions,Ken Follett,1986,New Amer Library (Mm),0,2
The Outside Man,Richard North Patterson,1995,Ballantine Books,0,4
On the Street Where You Live,Mary Higgins Clark,2002,Pocket,0,0
Kiss of the Bees: A Novel of Suspense,J.A. Jance,2001,Avon,8,2
Second Child,John Saul,1997,Bantam Books,0,2
The Winner,David Baldacci,1998,Warner Vision,0,2
Burn Factor,Kyle Mills,2002,HarperTorch,0,2
Fourth Procedure,STANLEY POTTINGER,1995,Ballantine Books,0,4
Cry to Heaven,Anne Rice,1995,Ballantine Books,0,4
The Fool's Run,John Sandford,2004,Berkley Publishing Group,0,1
L Is for Lawless,Sue Grafton,1996,Fawcett Books,0,2
Rendezvous with Rama,Arthur C. Clarke,1990,Bantam,0,2
The Servants of Twilight,Dean R. Koontz,1996,Berkley Publishing Group,8,1
Prime Witness,Steven Paul Martini,1994,Jove Books,0,2
The Doomsday Conspiracy,Sidney Sheldon,1992,Warner Books,6,2
Skeleton Crew,Stephen King,1986,Signet Book,0,3
The Most Wanted,Jacquelyn Mitchard,1998,Viking Books,0,2
Patty Jane's House of Curl,Lorna Landvik,1999,Ivy Books,0,2
Gorky Park,Martin Cruz Smith,1993,Ballantine Books,0,4
Ladder of Years,Anne Tyler,1996,Ballantine Books,0,4
Stalker: A Peter Decker and Rina Lazarus Novel,Faye Kellerman,2001,Avon,0,2
Gone with the Wind,Margaret Mitchell,1993,Warner Books,9,2
Twilight Eyes,Dean R. Koontz,1995,Berkley Publishing Group,0,1
The Search,Iris Johansen,2001,Bantam Books,0,2
The Green Mile: Coffey's Hands (Green Mile Series),Stephen King,1996,Signet Book,9,3
Portrait of a Killer: Jack the Ripper-- Case Closed (Berkley True Crime),Patricia Cornwell,2003,Berkley Publishing Group,0,1
The List,Steven Paul Martini,1997,Jove Books,0,2
Demon Seed,Dean R. Koontz,1997,Berkley Publishing Group,0,1
Job: A Comedy of Justice,Robert A. Heinlein,1990,Del Rey Books,0,2
The Scorpio Illusion,Robert Ludlum,1994,Bantam Books,0,2
"State of Siege (Tom Clancy's Op-Center, 6)",Tom Clancy,1999,Berkley Publishing Group,0,1
Void Moon,Michael Connelly,2001,Warner Vision,0,2
Before Women Had Wings (Ballantine Reader's Circle),Connie May Fowler,1997,Ballantine Books,0,4
The Green Mile: The Bad Death of Eduard Delacroix (Green Mile Series),Stephen King,1996,Signet Book,9,3
The Green Mile: Night Journey (Green Mile Series),Stephen King,1996,Signet Book,0,3
The Green Mile: Coffey on the Mile (Green Mile Series),Stephen King,1996,Signet Book,9,3
Blood Shot (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1989,Dell,0,2
Bygones,LaVyrle Spencer,1996,Jove Books,0,2
Patriot Games (Jack Ryan Novels),Tom Clancy,1992,Berkley Publishing Group,0,1
Zoya,Danielle Steel,1989,Dell,0,6
Ruby (Landry),V.C. Andrews,1994,Pocket,0,0
High Maintenance,Jennifer Belle,2002,Riverhead Books,0,2
Remember When,Judith McNaught,1997,Pocket,0,0
Cloud Nine,Luanne Rice,2000,Bantam Books,0,2
As the Crow Flies,Jeffrey Archer,1992,HarperTorch,0,2
Billy Straight : A Novel,JONATHAN KELLERMAN,1999,Ballantine Books,7,4
A Dangerous Fortune,Ken Follett,1994,Island,0,2
The Laws of Our Fathers,Scott Turow,1997,Warner Books,0,2
The Judge,Steven Paul Martini,1996,Jove Books,0,2
Ground Zero and Beyond,J. P. McCarthy,2003,Xlibris Corporation,0,2
Strangers,Dean R. Koontz,1996,Berkley Publishing Group,0,1
Self-Defense (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1995,Bantam Books,0,2
Accidental Tourist,Anne Tyler,1988,Penguin Putnam~mass,0,2
The Experiment,John Darnton,2000,Signet Book,0,3
The Presence,John Saul,1998,Ballantine Books,0,4
Interest of Justice,Nancy Taylor Rosenberg,1994,Signet Book,0,3
The First Time,Joy Fielding,2001,Pocket Star,8,0
Dances With Wolves,Michael Blake,1990,Fawcett Books,0,2
The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,Amber-Allen Publishing,8,2
After the Fire,Belva Plain,2001,Dell Publishing Company,0,2
Possession : A Romance,A.S. BYATT,1991,Vintage,9,2
Lake News,Barbara Delinsky,2000,Pocket,0,0
The Vineyard,Barbara Delinsky,2001,Pocket Books,8,0
Pay It Forward: A Novel,Catherine Ryan Hyde,2000,Simon &amp; Schuster,0,2
The Program,Stephen White,2002,Dell Publishing Company,0,2
The Legend of Bagger Vance,Steven Pressfield,2000,HarperTorch,10,2
Getting Rid Of Bradley,Jennifer Crusie,2001,Mira,0,2
The Villa,Nora Roberts,2002,Jove Books,0,5
Tell Me Lies (Tell Me Lies),Jennifer Crusie,1999,St. Martin's Press,0,2
Legacy of Silence,Belva Plain,1999,Dell Publishing Company,0,2
Crazy for You,Jennifer Crusie,2000,St. Martin's Press,0,2
The Pillars of the Earth,Ken Follett,1996,Signet Book,0,3
The Saving Graces: A Novel,Patricia Gaffney,2000,HarperTorch,0,2
About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books,0,2
The Hot Zone,Richard Preston,1995,Anchor,8,2
The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,0,3
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch,9,2
"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications,0,2
The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday,0,2
Nightshade,John Saul,2001,Ballantine Books,0,4
The Left Hand of Darkness (Remembering Tomorrow),Ursula K. Le Guin,1991,ACE Charter,0,2
Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner,0,2
Misery,Stephen King,2004,Penguin USA (Paper),0,3
Communion : A True Story,Whitley Strieber,1988,Avon,0,2
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill,0,2
Open House (Oprah's Book Club (Paperback)),Elizabeth Berg,2001,Ballantine Books,0,4
The Smoke Jumper,Nicholas Evans,2002,Dell Publishing Company,0,2
Sole Survivor,DEAN KOONTZ,1997,Ballantine Books,0,4
Welcome to Temptation,Jennifer Crusie,2001,St. Martin's Paperbacks,0,2
Dead Run,Erica Spindler,2003,Mira,0,2
A Passage to India,E.M. Forster,1965,Harvest Books,0,2
"The Bachman Books: Rage, the Long Walk, Roadwork, the Running Man",Stephen King,1991,New Amer Library,0,3
The Dead Zone,Stephen King,2004,Signet Book,0,3
"The Gunslinger (The Dark Tower, Book 1)",Stephen King,1994,New American Library,0,3
Needful Things,Stephen King,2004,Signet Book,0,3
Tis : A Memoir,Frank McCourt,1999,Scribner,0,2
Neanderthal: A Novel,John Darnton,1997,St. Martin's Press,0,2
London : The Novel,EDWARD RUTHERFURD,1998,Fawcett,0,2
"For Better, for Worse: A Novel",Carole Matthews,2002,Avon Trade,0,2
The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group,9,1
Round Ireland With a Fridge,Tony Hawks,2001,St. Martin's Press,0,2
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco,0,2
The Killer Angels,Michael Shaara,1993,Ballantine Books,0,4
Female Intelligence,Jane Heller,2002,St. Martin's Paperbacks,0,2
The Eight,Katherine Neville,1995,Ballantine Books,0,4
To Say Nothing of the Dog,Connie Willis,1998,Bantam,0,2
See Jane Date (Red Dress Ink (Paperback)),Melissa Senate,2001,Red Dress Ink,0,2
Milkrun,Sarah Mlynowski,2001,Harlequin,0,2
Lucy Sullivan Is Getting Married,Marian Keyes,2000,Avon,0,2
The Trials of Tiffany Trott,Isabel Wolff,1999,Onyx Books,0,2
Fourplay: A Novel,Jane Moore,2002,Broadway Books,0,2
Tell Me Your Dreams,Sidney Sheldon,1999,Warner Vision,0,2
The Bourne Identity,Robert Ludlum,1984,Bantam Books,0,2
Name Dropping : What If Two Very Different Women Had The Same Exact Name?,Jane Heller,2001,St. Martin's Press,0,2
Generation X: Tales for an Accelerated Culture,Douglas Coupland,1992,St. Martin's Press,0,2
"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,1999,HarperCollins,0,2
Bloodsucking Fiends: A Love Story,Christopher Moore,1996,Perennial,0,2
Cujo,Stephen King,2004,Signet Book,8,3
The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,Anita Shreve,1998,Back Bay Books,0,2
Cold Mountain,Charles Frazier,1997,Atlantic Monthly Press,0,2
Guardian,John Saul,1995,Fawcett Books,0,2
The World According to Garp,John Irving,1994,Ballantine Books,0,4
The Man Who Ate the 747,Ben Sherwood,2002,Bantam Books,0,2
The Remains of the Day (Vintage International),Kazuo Ishiguro,1993,Vintage Books USA,0,2
TickTock,Dean R. Koontz,1997,Ballantine Books,0,4
Christy,Catherine Marshall,1976,Avon,0,2
Cold Fire,Dean R. Koontz,1996,Berkley Publishing Group,8,1
All That Glitters (Landry),V.C. Andrews,1995,Pocket,0,0
Angels,Marian Keyes,2003,HarperTorch,0,2
"Pawn of Prophecy (The Belgariad, Book 1)",David Eddings,1990,Del Rey Books,10,2
The Talisman,STEPHEN KING,2001,Ballantine Books,0,3
Practical Magic,Alice Hoffman,1996,Berkley Publishing Group,0,1
Lost Souls,POPPY BRITE,1993,Dell,0,2
Wuthering Heights,EMILY BRONTE,1983,Bantam,4,2
The Blue Day Book,Bradley Trevor Greive,2000,Andrews McMeel Publishing,10,2
West With the Night,Beryl Markham,1983,North Point Press,0,2
The Right Hand of Evil,John Saul,2000,Ballantine Books,0,4
"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994,Tor Fantasy,0,2
The Indian in the Cupboard,Lynne Reid Banks,1999,HarperTrophy,0,2
Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999,Ballantine Books,4,4
The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial,9,2
Feast of All Saints,Anne Rice,1986,Ballantine Books,10,4
Jane Eyre (Bantam Classics),Charlotte Bronte,1983,Bantam,7,2
The Little Prince,Antoine de Saint-Exup̩ry,1968,Harcourt,9,2
The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice,1993,Ballantine Books,7,4
The True Confessions of Charlotte Doyle (rack),Avi,1992,HarperTrophy,8,2
Anne of Windy Poplars (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1983,Bantam Classics,10,2
Talk Before Sleep: A Novel,Elizabeth Berg,1995,Island,7,2
Anne's House of Dreams,L.M. MONTGOMERY,1983,Bantam Classics,10,2
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey,10,2
Jewel,Bret Lott,1999,Washington Square Press,4,2
"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,0,2
"The Vampire Armand (The Vampire Chronicles, Book 6)",Anne Rice,2000,Ballantine Books,9,4
"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,1998,Del Rey,0,2
OLD MAN AND THE SEA,Ernest Hemingway,1995,Scribner,8,2
"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey,10,2
The Silmarillion,J.R.R. TOLKIEN,1985,Del Rey,10,2
"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,1986,Del Rey,10,2
"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,1992,Tor Fantasy,0,2
"Memnoch the Devil (Vampire Chronicles, No 5)",Anne Rice,1997,Ballantine Books,8,4
Anne of Ingleside (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,10,2
Never Change,Elizabeth Berg,2002,Washington Square Press,6,2
What We Keep,Elizabeth Berg,2002,Ballantine Books,0,4
The Great Gatsby,F. Scott Fitzgerald,1995,Scribner,8,2
Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches),Anne Rice,1995,Ballantine Books,8,4
"The Wide Window (A Series of Unfortunate Events, Book 3)",Lemony Snicket,2000,HarperCollins,7,2
Mercy,Julie Garwood,2002,Pocket,0,0
Scarlet Feather,Maeve Binchy,2002,Signet Book,9,3
The Associate,Phillip Margolin,2002,HarperTorch,0,2
Sick Puppy,Carl Hiaasen,2001,Warner Vision,0,2
The Forgotten (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,2002,Avon,0,2
The Jury,Steve Martini,2002,Jove Books,0,2
False Memory,Dean R. Koontz,2000,Bantam Books,0,2
Summer Light,Luanne Rice,2002,Bantam Books,0,2
The Next Accident,LISA GARDNER,2002,Bantam,0,2
Dust to Dust,TAMI HOAG,2002,Bantam,0,2
Moon Music (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1999,Avon,0,2
The Woman Next Door,Barbara Delinsky,2002,Pocket,0,0
Farm Fatale: A Comedy of Country Manors,Wendy Holden,2002,Plume Books,0,2
The Quiet Game,Greg Iles,2000,Signet Book,0,3
The Third Option,Vince Flynn,2001,Pocket Star,0,0
Dream Country,Luanne Rice,2002,Bantam Books,0,2
Mistaken Identity,Lisa Scottoline,2000,HarperTorch,0,2
Parallel Lies,Ridley Pearson,2002,Hyperion Press,0,2
Bittersweet,DANIELLE STEEL,2000,Dell,0,6
The Map of Love,Ahdaf Soueif,2000,Anchor Books/Doubleday,0,2
Stanislaski Sisters,Nora Roberts,2001,Silhouette,0,5
The Promise,Danielle Steel,1978,Dell,0,6
The Ring,Danielle Steel,1983,Dell,0,6
Thurston House,Danielle Steel,1984,Dell,0,6
Wanderlust,Danielle Steel,1987,Dell,0,6
Vanished,Danielle Steel,1994,Dell,0,6
Hemlock Bay,Catherine Coulter,2002,Jove Books,0,2
Small Town Girl,Lavyrle Spencer,1998,Jove Books,0,2
Cordina's Crown Jewel,Nora Roberts,2002,Silhouette,0,5
Glory in Death,J. D. Robb,2004,Berkley Publishing Group,0,1
Before I Say Good-Bye : A Novel,Mary Higgins Clark,2000,Simon &amp; Schuster,0,0
The Thorn Birds,Colleen McCullough,1978,Avon,0,2
Heartbeat,Danielle Steel,1992,Dell,0,6
The Ranch,DANIELLE STEEL,1998,Dell,0,6
Rising Tides,Nora Roberts,2001,Jove Books,0,5
Inner Harbor (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books,0,5
Birthright,Nora Roberts,2004,Jove Books,0,5
Impulse,Catherine Coulter,2001,Signet Book,0,3
Carolina Moon,Nora Roberts,2001,Jove Books,0,5
Lone Eagle,Danielle Steel,2002,Dell Publishing Company,0,6
Home Song,Lavyrle Spencer,1995,Jove Books,0,2
Mirror Image,Danielle Steel,1999,Dell Publishing Company,0,6
Let Me Call You Sweetheart,Mary Higgins Clark,1996,Pocket,0,0
Remember Me,Mary Higgins Clark,1995,Pocket,0,0
"Irish Rebel (Special Edition, 1328)",Nora Roberts,2000,Silhouette,0,5
Engaging The Enemy,Nora Roberts,2003,Silhouette,0,5
"Truly, Madly Manhattan",Nora Roberts,2003,Silhouette,0,5
A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash,Sylvia Nasar,2001,Simon &amp; Schuster,0,2
Changes,Danielle Steel,1984,Dell,0,6
Family Album,Danielle Steel,1989,Dell,0,6
Once in a Lifetime,Danielle Steel,1983,Dell,0,6
Palomino,DANIELLE STEEL,1985,Dell,0,6
Daddy,DANIELLE STEEL,1990,Dell,0,6
Jewels,Danielle Steel,1993,Dell,0,6
Five Days in Paris,DANIELLE STEEL,1997,Dell,0,6
Special Delivery: A Novel,Danielle Steel,1998,Dell Publishing Company,0,6
The Green Mile: The Mouse on the Mile (Green Mile Series),Stephen King,1996,Signet Book,0,3
The Reef,Nora Roberts,1999,Jove Books,0,5
My Gal Sunday,Mary Higgins Clark,2003,Pocket,0,0
Winter Solstice,Rosamunde Pilcher,2001,St. Martin's Paperbacks,0,2
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,0,2
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,0,2
Sacred Sins,Nora Roberts,1990,Bantam Books,0,5
Granny Dan,DANIELLE STEEL,2000,"Random House, Inc.",0,6
Stanislaski Brothers (Silhouette Promo),Nora Roberts,2000,Silhouette,0,5
On Mystic Lake,Kristin Hannah,2000,Ballantine Books,0,4
Holding the Dream (Dream Trilogy),Nora Roberts,2001,Jove Books,0,5
A Perfect Stranger,Danielle Steel,1983,Dell,0,6
Midnight Bayou,Nora Roberts,2004,Jove Books,0,5
Montana Sky,Nora Roberts,2000,Jove Books,0,5
Born in Fire,Nora Roberts,1994,Jove Books,0,5
Stillwatch,MARY HIGGINS CLARK,1986,Dell,0,0
"Night Shield (Intimate Moments, 1027)",Nora Roberts,2000,Silhouette,0,5
Message from Nam,Danielle Steel,1991,Dell,0,6
Beloved,Toni Morrison,1998,Plume Books,0,2
The Two Dead Girls (Green Mile Series),Stephen King,1996,Signet Book,0,3
Reflections And Dreams,Nora Roberts,2001,Silhouette,0,5
Witness in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb,2004,Berkley Publishing Group,0,1
Journey,Danielle Steel,2001,Dell Publishing Company,0,6
Dreamcatcher,Stephen King,2003,Pocket,0,3
The Ghost,Danielle Steel,1998,Dell Publishing Company,0,6
McNally's Secret (Archy McNally Novels (Paperback)),Lawrence Sanders,1994,Berkley Publishing Group,0,1
Considering Kate (The Stanislaskis) (Silhouette Special Edition),Nora Roberts,2001,Silhouette,0,5
Fine Things,Danielle Steel,1988,Dell,0,6
Silent Night : A Christmas Suspense Story,Mary Higgins Clark,1996,Pocket,0,0
The Lottery Winner: Alvirah and Willy Stories,Mary Higgins Clark,1994,Simon &amp; Schuster,0,0
A Night to Remember,WALTER LORD,1997,Bantam,0,2
Public Secrets,Nora Roberts,1990,Bantam,0,5
Naked in Death,J. D. Robb,2004,Berkley Publishing Group,0,1
The Scottish Bride (Bride Trilogy (Paperback)),Catherine Coulter,2001,Jove Books,0,2
The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,0,0
Make the Connection: Ten Steps to a Better Body and a Better Life,Bob Greene,1996,Hyperion Press,0,2
Hidden Riches,Nora Roberts,2004,Jove Books,0,5
Now and Forever,Danielle Steel,1978,Dell,0,6
Summer's End,Danielle Steel,1980,Dell,0,6
Accident,Danielle Steel,1995,Dell,0,6
Morning Glory,LaVyrle Spencer,1990,Jove Books,0,2
Going Home,Danielle Steel,1991,Pocket,0,6
True Betrayals,Nora Roberts,1996,Jove Books,0,5
No Greater Love,Danielle Steel,1992,Dell,0,6
Three Wishes,Barbara Delinsky,1998,Pocket,0,0
Homeport,Nora Roberts,1999,Jove Books,0,5
Kaleidoscope,Danielle Steel,1988,Dell,0,6
Star,Danielle Steel,1990,Dell,0,6
Beyond Eden,Catherine Coulter,2000,Signet Book,0,3
Finding the Dream,Nora Roberts,1997,Jove Books,0,5
The Macgregors: Alan - Grant (The Macgregors),Nora Roberts,1999,Silhouette,0,5
Irresistible Forces,Danielle Steel,2000,Dell Publishing Company,0,6
The Cottage,Danielle Steel,2003,Dell Publishing Company,0,6
The Wedding,Danielle Steel,2001,Dell Publishing Company,0,6
Leap of Faith,Danielle Steel,2002,Dell Publishing Company,0,6
Eleventh Hour: An FBI Thriller (FBI Thriller (Jove Paperback)),Catherine Coulter,2004,Jove Books,0,2
Sweet Revenge,NORA ROBERTS,1997,Bantam,0,5
Genuine Lies,Nora Roberts,1999,Bantam,0,5
Deck the Halls (Holiday Classics),Mary Higgins Clark,2002,Pocket,0,0
Until You,Judith McNaught,1995,Pocket,0,0
Robert Ludlum's The Hades Factor,Robert Ludlum,2001,St. Martin's Paperbacks,0,2
The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001,Berkley Publishing Group,0,1
Dragon Tears,Dean R. Koontz,1995,Berkley Publishing Group,0,1
Tom Clancy's Op-Center Balance of Power (Tom Clancy's Op Center (Paperback)),Tom Clancy,1998,Prime Crime,0,2
Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG,1984,Bantam,10,2
Starship Troopers,Robert A. Heinlein,1987,Ace Books,10,2
Politika (Tom Clancy's Power Plays (Paperback)),Tom Clancy,1999,Berkley Publishing Group,0,1
"Chapterhouse Dune (Dune Chronicles, Book 6)",Frank Herbert,1996,ACE Charter,10,2
Clear and Present Danger (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,0,1
"ROAD LESS TRAVELED : A New Psychology of Love, Traditional Values, and Spritual Growth (Touchstone Books (Paperback))",M. Scott Peck,1980,Touchstone,5,2
Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,ACE Charter,10,2
The Eyes of the Dragon,Stephen King,2001,Signet Book,0,3
On Writing,Stephen King,2000,Scribner,0,3
Taltos: Lives of the Mayfair Witches,Anne Rice,1994,Alfred A. Knopf,0,2
The Cry of the Halidon,Robert Ludlum,1996,Bantam Books,0,2
WAITING TO EXHALE,Terry McMillan,1993,Pocket,10,0
The Handmaid's Tale : A Novel,Margaret Atwood,1998,Anchor,0,2
The General's Daughter,Nelson DeMille,1993,Warner Books,0,2
